Product Name	Upfront Comm	Trail Commsiion	Type	Author
Axis Equity Fund	1.25%	0.50%	Mutual Fund	Haren
	0.9	0.45	Mutual Fund	Bishnu
Axis Gold ETF Growth	0.05%	Nil	Mutual Fund	Haren
Axis Money Manager Fund	Nil	0.10%	Mutual Fund	Haren
Axis Treasury Advantage Fund	Nil	0.90%	Mutual Fund	Haren
Axis Triple Advanatage Fund	1.25%	0.50%	Mutual Fund	Haren
Axis Triple Advantage Fund - Growth	0.80%	0.40%	Mutual Fund	Bishnu
Axis Treasury Advantage Fund - Growth	0.00%	0.08%	Mutual Fund	Bishnu
Axis Triple Advantage Fund	0.8	0.4	Mutual Fund	Bishnu
Axis Treasury Advantage	0	0.08	Mutual Fund	Bishnu
				
Birla Sun Life Dividend Yield Plus	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Dynamic Bond Fund	0.50%	Nil	Mutual Fund	Haren
Birla Sun Life Frontline Equity Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Gold Fund	0.40%	Nil	Mutual Fund	Haren
Birla Sun Life Infrastructure Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Medium Term Plan	1.25%	Nil	Mutual Fund	Haren
Birla Sun Life MidCap Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Savings Fund	Nil	0.05%	Mutual Fund	Haren
Birla Sun Life 95	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Asset Allocation Aggressive	0	0.55	Mutual Fund	Bishnu
Birla Sun Life Frontline Equity	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Dynamic Bond (less than 5 cr)	0.5	0	Mutual Fund	Bishnu
Birla Sun Life Dividend Yield Plus	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Long Term Adv	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Small and Midcap Fund	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Special Situations	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Top 100	0.75	0.45	Mutual Fund	Bishnu
Birla Dynamic Bond Fund [Less than 5 crore]	0.005	0	Mutual Fund	Bishnu
Birla Dynamic Bond Fund [more than 5 crore]	0.0024	0	Mutual Fund	Bishnu
Birla Savings  Fund - Insti Plan	0	0.0004	Mutual Fund	Bishnu
Birla Savings  Fund - Retail Plan	0	0.0004	Mutual Fund	Bishnu
Birla Dividend Yield Plus Fund	0.0075	0.0045	Mutual Fund	Bishnu
				
DSP BlackRock Equity Fund 	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Equity Fund - Regular Plan	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Income Opportunities Fund 	1.25%	0.00%	Mutual Fund	Haren
DSP BlackRock Micro Cap Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Money Manager Fund	Nil	0.70%	Mutual Fund	Haren
DSP BlackRock Opportunities Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Short Term Fund	0.70%	0.00%	Mutual Fund	Haren
DSP BlackRock Small and Mid Cap Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Tax Saver Fund 	4.50%	Nil	Mutual Fund	Haren
DSP BlackRock Top 100 Equity Fund	0.50%	0.85%	Mutual Fund	Haren
DSP Short Term Fund	0.004	0	Mutual Fund	Bishnu
DSP Equity Fund	0.005	0.006	Mutual Fund	Bishnu
DSP Money Manager Fund - Reg	0	0.006	Mutual Fund	Bishnu
DSP BlackRock Balanced	0.9	0.6	Mutual Fund	Bishnu
DSP BlackRock Bond	1.3	0	Mutual Fund	Bishnu
DSP BlackRock Equity	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock Micro Cap Reg	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock Opportunities	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock Small and Mid Cap Reg	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock T.I.G.E.R. Reg	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock Tax Saver	3.75	0	Mutual Fund	Bishnu
DSP BlackRock Top 100 Equity Reg	0.55	0.6	Mutual Fund	Bishnu
DSP BlackRock TOP 100 Reg	0.55	0.6	Mutual Fund	Bishnu
				
Templeton India Equity Income Fund	Nil	0.90%	Mutual Fund	Haren
Templeton India Growth Fund	Nil	0.90%	Mutual Fund	Haren
Templeton India Short Term Income Plan	0.50%	Nil	Mutual Fund	Haren
Templeton India Treasury Management Account - Regular Plan	Nil	0.05%	Mutual Fund	Haren
Templeton India Growth	0.9	0.35	Mutual Fund	Bishnu
Templeton India Short Term  Income	0.8	0	Mutual Fund	Bishnu
Templeton India Short-term Income Ret	0.8	0	Mutual Fund	Bishnu
				
Franklin India Bluechip Fund	Nil	0.90%	Mutual Fund	Haren
Franklin India Flexi Cap Fund	Nil	0.90%	Mutual Fund	Haren
Franklin India Prima Fund	Nil	0.90%	Mutual Fund	Haren
Franklin India Tax Shield	Nil	1.40%	Mutual Fund	Haren
	3.25	0	Mutual Fund	Bishnu
Franklin India Bluechip	0.9	0.35	Mutual Fund	Bishnu
Franklin India Opportunities	0.9	0.35	Mutual Fund	Bishnu
Franklin India Prima Plus	0.9	0.35	Mutual Fund	Bishnu
Franklin India Flexi Cap	0.9	0.35	Mutual Fund	Bishnu
Franklin India Balanced	0.55	0.35	Mutual Fund	Bishnu
				
HDFC Balanced Fund	0.50%	0.75%	Mutual Fund	Haren
HDFC Cash Management Treasury Advantage Fund	Nil	0.75%	Mutual Fund	Haren
HDFC Equity Fund	0.50%	0.75%	Mutual Fund	Haren
HDFC Gold Fund	0.75%	Nil	Mutual Fund	Haren
HDFC Growth Fund	0.85%	0.40%	Mutual Fund	Haren
HDFC High Interest Fund - Short Term Plan	Nil	0.30%	Mutual Fund	Haren
	0	0.003	Mutual Fund	Bishnu
HDFC Index Fund - Sensex Plus Plan	Nil	0.75%	Mutual Fund	Haren
HDFC Liquid Fund	Nil	0.10%	Mutual Fund	Haren
HDFC Long Term Advantage Fund	0.85%	0.40%	Mutual Fund	Haren
	2.1	0	Mutual Fund	Bishnu
HDFC Mid-Cap Opportunities Fund 	0.50%	0.75%	Mutual Fund	Haren
HDFC Monthly Income Plan - Long Term Plan	0.75%	0.40%	Mutual Fund	Haren
HDFC Monthly Income Plan - Short Term Plan	1.15%	Nil	Mutual Fund	Haren
HDFC Multiple Yield Fund	1.00%	Nil	Mutual Fund	Haren
HDFC Prudence Fund	0.50%	0.75%	Mutual Fund	Haren
HDFC Tax Saver	3.00%	Nil	Mutual Fund	Haren
HDFC Top 200 Fund	0.50%	0.75%	Mutual Fund	Haren
HDFC Cash Management Treasury Advantage	0	0.006	Mutual Fund	Bishnu
HDFC Equity	0.45	0.55	Mutual Fund	Bishnu
HDFC Growth	0.45	0.55	Mutual Fund	Bishnu
HDFC High Interest	0	0.6	Mutual Fund	Bishnu
HDFC Income	0.4	0.4	Mutual Fund	Bishnu
HDFC Medium Term Opportunities	0	0.04	Mutual Fund	Bishnu
HDFC Mid-Cap Opportunities	0.45	0.55	Mutual Fund	Bishnu
HDFC Premier Multi Cap	0.45	0.55	Mutual Fund	Bishnu
HDFC Prudence	0.45	0.55	Mutual Fund	Bishnu
HDFC Taxsaver	2.1	0	Mutual Fund	Bishnu
HDFC Top 200	0.45	0.55	Mutual Fund	Bishnu
				
ICICI Blue Chip Fund Growth	0.75%	0.75%	Mutual Fund	Haren
ICICI Discovery	0.75%	0.75%	Mutual Fund	Haren
ICICI Dynamic Plan	0.75%	0.75%	Mutual Fund	Haren
ICICI Flexi Income Fund	Nil	0.05%	Mutual Fund	Haren
ICICI Pru Dynamic Bond	0.6	0	Mutual Fund	Bishnu
ICICI Pru Focused Bluechip Eq Retail	0.75	0.4	Mutual Fund	Bishnu
ICICI Prudential Long term	0.02	0	Mutual Fund	Bishnu
ICICI Prudential Regular Savings	1	0	Mutual Fund	Bishnu
ICICI Prudential Tax Plan	3.25	0	Mutual Fund	Bishnu
				
IDFC Dynamic Bond Fund	Nil	0.75%	Mutual Fund	Haren
IDFC Money Manager Fund - Treasury Plan A	Nil	0.75%	Mutual Fund	Haren
IDFC Premier Equity Fund - Plan A	0.50%	0.75%	Mutual Fund	Haren
IDFC Sterling Equity Fund 	0.50%	0.75%	Mutual Fund	Haren
IDFC Sterling Equity	0.004	0.0045	Mutual Fund	Bishnu
IDFC Premier Equity	0.004	0.0035	Mutual Fund	Bishnu
IDFC Money Manager	0	0.0032	Mutual Fund	Bishnu
IDFC Imperial Equity	0.4	0.45	Mutual Fund	Bishnu
IDFC Premier Equity Plan A	0.4	0.35	Mutual Fund	Bishnu
IDFC Tax Advantage	3.25	0	Mutual Fund	Bishnu
				
				
Pramerica Credit Opportunities Fund	0.50%	0.50%	Mutual Fund	Haren
Pramerica Equity Fund	0.50%	1.50%	Mutual Fund	Haren
	0.75	0.7	Mutual Fund	Bishnu
Pramerica Short Term Income Fund	0.15%	Nil	Mutual Fund	Haren
	0.6	0	Mutual Fund	Bishnu
Pramerica Ultra Short Term Bond Fund	Nil	0.25%	Mutual Fund	Haren
				
Reliance Dynamic Bond Fund	0.50%	0.40%	Mutual Fund	Haren
Reliance Equity Opportunities Fund - Retail Plan (G)	0.90%	0.50%	Mutual Fund	Haren
Reliance Gold Savings Fund	0.70%	Nil	Mutual Fund	Haren
Reliance Growth Fund - Retail Plan	0.90%	0.50%	Mutual Fund	Haren
Reliance Liquid Fund - Cash Plan	Nil	0.60%	Mutual Fund	Haren
Reliance Money Manager Fund - Retail Plan	Nil	0.35%	Mutual Fund	Haren
Reliance Monthly Income Plan	1.05%	0.30%	Mutual Fund	Haren
Reliance Regular Savings Fund - Debt Option - Retail Plan	0.75%	0.40%	Mutual Fund	Haren
Reliance Tax Saver (ELSS) Fund	3.80%	Nil	Mutual Fund	Haren
Reliance Dynamic Bond	1.05	0	Mutual Fund	Bishnu
Reliance Long Term Equity	0.7	0.35	Mutual Fund	Bishnu
Reliance Regular Savings Equity	0.7	0.35	Mutual Fund	Bishnu
Reliance Short-term	0.65	0	Mutual Fund	Bishnu
Reliance Tax Saver	3.75	0	Mutual Fund	Bishnu
Reliance Vision	0.7	0.35	Mutual Fund	Bishnu
				
				
SBI Dynamic Bond Fund	0.50%	0.50%	Mutual Fund	Haren
SBI Emerging Businesses Fund - Regular Plan - G	0.50%	0.50%	Mutual Fund	Haren
SBI Magnum Tax Gain	3.00%	Nil	Mutual Fund	Haren
SBI Magnum Contra	0.75	0.45	Mutual Fund	Bishnu
SBI Magnum Equity	0.75	0.45	Mutual Fund	Bishnu
SBI Short Term Ret	0	0.04	Mutual Fund	Bishnu
				
Sundaram Select Focus	0.75%	0.50%	Mutual Fund	Haren
	0.55	0.3	Mutual Fund	Bishnu
Sundaram Select Mid Cap	0.75%	0.50%	Mutual Fund	Haren
Sundaram Growth	0.55	0.3	Mutual Fund	Bishnu
				
Apollo Munich Easy Health Individual	19%		GI	Haren
Apollo Munich Optima Senior	19%		GI	Haren
				
Bajaj Allianz Individual Health Guard	20%		GI	Haren
Bajaj Allianz Critical Care j Allianz	20%		GI	Haren
Bajaj Allianz Critical Care Policy	20%		GI	Haren
Bajaj Allianz Critical Illness Cover	20%		GI	Haren
Bajaj Allianz Extra Care	20%		GI	Haren
Bajaj Allianz Health Guard	20%		GI	Haren
Bajaj Allianz Premier Personal Guard	20%		GI	Haren
				
BSLI Protector Plus Plan	For 15+ Term first year 32, 2nd year 3.5, For 10 year term first year 21, 2nd year onward 3.5, For 5 year term First Year 10%, 2nd year onward 3.5		LI	Haren
HDFC Life Click 2 Protect	3300%		LI	Haren
Health Guard	20%		GI	Haren
ICICI Critical Care	18%		GI	Haren
ICICI Health Care Plus	18%		Mutual Fund	Haren
ICICI Lombard Critical Care	18%		GI	Haren
ICICI Lombard Critical Care Cover	18%		GI	Haren
ICICI Lombard Health Protect Family Floater	18%		GI	Haren
ICICI Lombard Health Protect Plus	18%		GI	Haren
ICICI Lombard Persoanl Accident Cover	18%		GI	Haren
ICICI Lombard Personal Protect Plan	18%		GI	Haren
ICICI Lombard Top Up Cover	18%		GI	Haren
ICICI Personal Protect	18%		GI	Haren
ICICI Personal Protect Policy	18%		GI	Haren
ICICI Pru Capital Protection			GI	Haren
ICICI Prudential Capital Protection Oriented Fund			Mutual Fund	Haren
ICICI Pru Dynamic Bond	0.6	0	Mutual Fund	Bishnu
ICICI Pru Focused Bluechip Eq Retail	0.75	0.4	Mutual Fund	Bishnu
ICICI Prudential Long term	0.02	0	Mutual Fund	Bishnu
ICICI Prudential Regular Savings	1	0	Mutual Fund	Bishnu
ICICI Prudential Tax Plan	3.25	0	Mutual Fund	Bishnu
				
Premium persoanl Guard	20%		Mutual Fund	Haren
Preventive Health Care			GI	Haren
Top Up Policy with Rs.4,00,000 deductible			Mutual Fund	Haren
				
UTI  Equity	0.5	0.4	Mutual Fund	Bishnu
UTI Dividend Yield	0.5	0.4	Mutual Fund	Bishnu
UTI Dynamic Bond	0.6	0	Mutual Fund	Bishnu
UTI Master Plus 91	0.5	0.4	Mutual Fund	Bishnu
UTI Master Share	0.5	0.4	Mutual Fund	Bishnu
UTI Opportunities	0.5	0.4	Mutual Fund	Bishnu
UTI Short-term Income Regular	0.16	0	Mutual Fund	Bishnu
UTI TOP 100	0.5	0.4	Mutual Fund	Bishnu
				
Tata Balanced	0.75	0.45	Mutual Fund	Bishnu
Tata Contra	0	0	Mutual Fund	Bishnu
Tata Equity oppurtunities	0.75	0.45	Mutual Fund	Bishnu
Tata Equity PE	0.75	0.45	Mutual Fund	Bishnu
Tata Income	0.32	0.65	Mutual Fund	Bishnu
Tata Mid Cap	0.75	0.45	Mutual Fund	Bishnu
Tata Pure Equity	0.75	0.45	Mutual Fund	Bishnu
				
Religare Invesco Mid Cap	1.05	0.35	Mutual Fund	Bishnu
Religare Invesco Tax Plan	0	0.35	Mutual Fund	Bishnu
				
Kotak Bond	1.15	0	Mutual Fund	Bishnu
Kotak Sensex ETF	0	0	Mutual Fund	Bishnu
				
Principal Income Short-term	0.45	0.55	Mutual Fund	Bishnu
				
L&T Equity Fund	0	1.4	Mutual Fund	Bishnu
L&T Flexi Bond	0	0.6	Mutual Fund	Bishnu
L&T India Large Cap Fund	0	1.4	Mutual Fund	Bishnu
L&T Tax Advantage Fund	0	0.85	Mutual Fund	Bishnu
