EXECUTED_PRODUCT_NAME__C,PRODUCT_NAME__C
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
IDFC MM treasury A,IDFC Money Manager Fund - Treasury Plan A
HDFC Hi Short Term,HDFC High Interest Fund - Short Term Plan
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Reliance gold Savings,Reliance Gold Savings Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Reliance Gold Savings,Reliance Gold Savings Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
ICICI Focused Bluechip Equity,ICICI Blue Chip Fund Growth
IDFC Dynamic,ICICI Dynamic Plan
Gold ETF,HDFC Gold Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
IDFC Dynamic Bond,IDFC Dynamic Bond Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
IDFC Dynamic Bond,IDFC Dynamic Bond Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
BSL Savings,Birla Sun Life Savings Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
IDFC Dynamic Bond,IDFC Dynamic Bond Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
Gold ETF,HDFC Gold Fund
BSL Savings,Birla Sun Life Savings Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
Kotak Select Focus Fund ,Kotak Select Focus
Kotak Select Focus Fund ,Kotak Select Focus
ICICI Pru Focussed Blue Chip Fund,ICICI Blue Chip Fund Growth
ICICI Pru Focussed Blue Chip Fund,ICICI Blue Chip Fund Growth
ICICI Pru Flexi Income,ICICI Flexi Income Fund
HDFC Tax Saver (D),HDFC Tax Saver
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
IDFC Money Manager,IDFC Money Manager Fund - Treasury Plan A
DSP Money Manager,DSP BlackRock Money Manager Fund
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
DSP Equity,DSP BlackRock Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
Reliance Gold Savings Fund,Reliance Gold Savings Fund
Reliance Gold Savings Fund,Reliance Gold Savings Fund
HDFC Tax Saver (G),HDFC Tax Saver
HDFC Tax Saver (D),HDFC Tax Saver
BSL Savings,Birla Sun Life Savings Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
BSL Savings,Birla Sun Life Savings Fund
BSL Savings,Birla Sun Life Savings Fund
BSL Savings,Birla Sun Life Savings Fund
IDFC Money Manager,IDFC Money Manager Fund - Treasury Plan A
IDFC Money Manager,IDFC Money Manager Fund - Treasury Plan A
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
Pramerica Equity,Pramerica Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
HDFC Life Click 2 Protect.,HDFC Life Click 2 Protect
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Equity,Pramerica Equity Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
Pramerica Equity,Pramerica Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
Pramerica Equity,Pramerica Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
Pramerica Equity,Pramerica Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Equity,Pramerica Equity Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
Pramerica Equity,Pramerica Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Reliance equity opportunities fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
HDFC - Top 200 Fund - (G) [Folio:6036453/56],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:6036453/56],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:6077190/65],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:7640557/11],HDFC Top 200 Fund
HDFC - Top 200 Fund - (G) [Folio:3116216/18],HDFC Top 200 Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
AXIS Treasury Advantage,Axis Treasury Advantage Fund
HDFC Cash Management Treasury,HDFC Cash Management Treasury Advantage Fund
DSP BR Equity,DSP BlackRock Equity Fund
ICICI Pru Focussed Blue Chip Fund,ICICI Blue Chip Fund Growth
BSL Savings,Birla Sun Life Savings Fund
ICICI Pru Discovery,ICICI Discovery
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
Birla SL Savings,Birla Sun Life Savings Fund
Pramerica Ultra Short Term,Pramerica Ultra Short Term Bond Fund
Birla SL Savings,Birla Sun Life Savings Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
ICICI Pru Flexi Income,ICICI Flexi Income Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
AXIS Treasury Advantage,Axis Treasury Advantage Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
DSP BR Top 100,DSP BlackRock Top 100 Equity Fund
BSL Savings,Birla Sun Life Savings Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
BSL Savings,Birla Sun Life Savings Fund
BSL Savings,Birla Sun Life Savings Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
ICICI Pru Regular Savings Fund,ICICI Prudential Regular Savings
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Savings Fund,Birla Sun Life Savings Fund
ICICI Pru Regular Savings Fund,ICICI Prudential Regular Savings
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
Birla SL Savings,Birla Sun Life Savings Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
ICICI Pru Discovery,ICICI Discovery
ICICI Pru Focussed Blue Chip,ICICI Blue Chip Fund Growth
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Div Yield,Birla Sun Life Dividend Yield Plus
DSP Top 100,DSP BlackRock Top 100 Equity Fund
Reliance Gold,Reliance Gold Savings Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
Saving's A/C,Savings Account
HDFC Click 2 Protect - 1.5 cr,HDFC Life Click 2 Protect
HDFC Top 200 Growth,HDFC Top 200 Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
UTI Opportunities Fund,UTI Opportunities
Sundram Select mid cap Growth Fund,Sundaram Select Mid Cap
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
Saving Account,Savings Account
Pramerica Short Term Income,Pramerica Short Term Income Fund
L&T Equity Fund-G,L & T Equity
HDFC Equity Fund-G,HDFC Equity Fund
HDFC Top 200-G,HDFC Top 200 Fund
Savings Account,Savings Account
PPF,NA
PPF,NA
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
HDFC Life Click 2 Protect,HDFC Life Click 2 Protect
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
Reliance RSF - Equity,Reliance Regular Savings Fund
Reliance Gold Savings Fund,Reliance Gold Savings Fund
Dsp Equity,DSP BlackRock Equity Fund
Idfc Premier Equity,IDFC Premier Equity Fund - Plan A
Idfc Premier Equity,IDFC Premier Equity Fund - Plan A
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
FMP,NA
Savings Account,Savings Account
Pramerica equity,Pramerica Equity Fund
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
HDFC Top 200,HDFC Top 200 Fund
AXIS Triple Advantage,Axis Triple Advanatage Fund
LIC Jeevan Tarang,NA
PPF,NA
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Savings Bank Account,Savings Account
BSL savings,Birla Sun Life Savings Fund
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
"HDFC Life Click 2 Protect.(Sum Assured of Rs.50,00,000)",HDFC Life Click 2 Protect
HDFC Life Click 2 Protect.,HDFC Life Click 2 Protect
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
BSL Savings Fund,Birla Sun Life Savings Fund
BSL Savings Fund,Birla Sun Life Savings Fund
BSL Savings Fund,Birla Sun Life Savings Fund
Saving's A/c,Savings Account
BSL Savings Fund,Birla Sun Life Savings Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
BSL Savings Fund,Birla Sun Life Savings Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
BSL Savings Fund,Birla Sun Life Savings Fund
BSL Dynamic Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Dynamic Fund,Birla Sun Life Dynamic Bond Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
BSL Dynamic Fund,Birla Sun Life Dynamic Bond Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund - Retail Plan (G)
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
BSL Dynamic Fund,Birla Sun Life Dynamic Bond Fund
Bsl Dynamic Fund,Birla Sun Life Dynamic Bond Fund
Dsp Equity Fund,DSP BlackRock Equity Fund
BSL Savings,Birla Sun Life Savings Fund
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
BSL Savings,Birla Sun Life Savings Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
