ID	TRAIL_COMMISSION__C	UPFRONT_COMMISSION__C	Active__c 
a1PW0000000KJhBMAW	0.5	1.25	TRUE
a1PW0000000KJhCMAW	0	0.05	TRUE
a1PW0000000KJhDMAW	0.1	0	TRUE
a1PW0000000KJhEMAW	0.9	0	TRUE
a1PW0000000KJhFMAW	0.5	1.25	TRUE
a1PW0000000KJhGMAW	0.5	1	TRUE
a1PW0000000KJhHMAW	0	0.5	TRUE
a1PW0000000KJhIMAW	0	1.25	TRUE
a1PW0000000KJhJMAW	0.5	1	TRUE
a1PW0000000KJhKMAW	0	0.4	TRUE
a1PW0000000KJhLMAW	0	1.25	TRUE
a1PW0000000KJhMMAW	0.5	1	TRUE
a1PW0000000KJhNMAW	0.05	0	TRUE
a1PW0000000KJhOMAW	0.85	0.5	TRUE
a1PW0000000KJhPMAW	0	4.5	TRUE
a1PW0000000KJhQMAW	0.85	0.5	TRUE
a1PW0000000KJhRMAW	0.85	0.5	TRUE
a1PW0000000KJhSMAW	0.85	0.5	TRUE
a1PW0000000KJhTMAW	0	1.25	TRUE
a1PW0000000KJhUMAW	0.85	0.7	TRUE
a1PW0000000KJhVMAW	0.85	0.5	TRUE
a1PW0000000KJhWMAW	0.85	0.5	TRUE
a1PW0000000KJhXMAW	0.7	0	TRUE
a1PW0000000KJhYMAW	0.9	0	TRUE
a1PW0000000KJhZMAW	0.9	0	TRUE
a1PW0000000KJhaMAG	0.9	0	TRUE
a1PW0000000KJhbMAG	1.4	0	TRUE
a1PW0000000KJhcMAG	0.75	0.5	TRUE
a1PW0000000KJhdMAG	0.75	0	TRUE
a1PW0000000KJheMAG	0.75	0.5	TRUE
a1PW0000000KJhfMAG	0.4	0.85	TRUE
a1PW0000000KJhgMAG	0.3	0	TRUE
a1PW0000000KJhhMAG	0.7	0	TRUE
a1PW0000000KJhiMAG	0.1	0	TRUE
a1PW0000000KJhjMAG	0.4	0.85	TRUE
a1PW0000000KJhkMAG	0.75	0.5	TRUE
a1PW0000000KJhlMAG	0.4	0.75	TRUE
a1PW0000000KJhmMAG	0	1	TRUE
a1PW0000000KJhnMAG	0.75	0.5	TRUE
a1PW0000000KJhoMAG	0	0	TRUE
a1PW0000000KJhpMAG	0.75	0.75	TRUE
a1PW0000000KJhqMAG	0.75	0.75	TRUE
a1PW0000000KJhrMAG	0.75	0.75	TRUE
a1PW0000000KJhsMAG	0.05	0.05	TRUE
a1PW0000000KJhtMAG	0	0	TRUE
a1PW0000000KJhuMAG	0.75	0	TRUE
a1PW0000000KJhvMAG	0.75	0	TRUE
a1PW0000000KJhwMAG	0.75	0.5	TRUE
a1PW0000000KJhxMAG	0.75	0.5	TRUE
a1PW0000000KJhyMAG	1.5	0.5	TRUE
a1PW0000000KJhzMAG	0	0.15	TRUE
a1PW0000000KJi0MAG	0.25	0	TRUE
a1PW0000000KJi1MAG	0	20	TRUE
a1PW0000000KJi2MAG	0.5	0.9	TRUE
a1PW0000000KJi3MAG	0.4	0.5	TRUE
a1PW0000000KJi4MAG	0	0.7	TRUE
a1PW0000000KJi5MAG	0.5	0.9	TRUE
a1PW0000000KJi6MAG	0.35	0	TRUE
a1PW0000000KJi7MAG	0.3	1.05	TRUE
a1PW0000000KJi8MAG	0.4	0.75	TRUE
a1PW0000000KJi9MAG	0	3.8	TRUE
a1PW0000000KJiAMAW	0.5	0.5	TRUE
a1PW0000000KJiBMAW	0.5	0.5	TRUE
a1PW0000000KJiCMAW	0.5	0.75	TRUE
a1PW0000000KJiDMAW	0.5	0.75	TRUE
a1PW0000000KJiEMAW	0.9	0	TRUE
a1PW0000000KJiFMAW	0.9	0	TRUE
a1PW0000000KJiGMAW	0	0.5	TRUE
a1PW0000000KJiHMAW	0.05	0	TRUE
a1PW0000000KJiIMAW	0	0	TRUE
a1PW0000000KJiJMAW	0	3	TRUE
a1PW0000000KJiKMAW	0	0.75	TRUE
a1PW0000000KJiLMAW	0.5	1.25	TRUE
a1PW0000000KJiMMAW	0.9	0	TRUE
a1PW0000000KJiNMAW	0.5	1.25	TRUE
a1PW0000000KJiOMAW	0.5	1	TRUE
a1PW0000000KJiPMAW	0	0.5	TRUE
a1PW0000000KJiQMAW	0.5	1	TRUE
a1PW0000000KJiRMAW	0.5	1	TRUE
a1PW0000000KJiSMAW	0	1.25	TRUE
a1PW0000000KJiTMAW	0.05	0	TRUE
a1PW0000000KJiUMAW	0.85	0.5	TRUE
a1PW0000000KJiVMAW	0.85	0.5	TRUE
a1PW0000000KJiWMAW	0.85	0.5	TRUE
a1PW0000000KJiXMAW	0	0.7	TRUE
a1PW0000000KJiYMAW	0.85	0.5	TRUE
a1PW0000000KJiZMAW	0.7	0	TRUE
a1PW0000000KJiaMAG	0.85	0.5	TRUE
a1PW0000000KJibMAG	0.9	0	TRUE
a1PW0000000KJicMAG	0.75	0	TRUE
a1PW0000000KJidMAG	0.75	0.5	TRUE
a1PW0000000KJieMAG	0.3	0	TRUE
a1PW0000000KJifMAG	0.75	0.5	TRUE
a1PW0000000KJigMAG	0	1.15	TRUE
a1PW0000000KJihMAG	0.75	0.5	TRUE
a1PW0000000KJiiMAG	0.75	0.5	TRUE
a1PW0000000KJijMAG	0	18	TRUE
a1PW0000000KJikMAG	0.75	0	TRUE
a1PW0000000KJilMAG	0.75	0	TRUE
a1PW0000000KJimMAG	0.75	0.5	TRUE
a1PW0000000KJinMAG	0.75	0.5	TRUE
a1PW0000000KJioMAG	0.5	0.5	TRUE
a1PW0000000KJipMAG	1.5	0.5	TRUE
a1PW0000000KJiqMAG	0	0.15	TRUE
a1PW0000000KJirMAG	0.25	0	TRUE
a1PW0000000KJisMAG	0	0.7	TRUE
a1PW0000000KJitMAG	0.5	0.9	TRUE
a1PW0000000KJiuMAG	0.6	0	TRUE
a1PW0000000KJivMAG	0	32	TRUE
a1PW0000000KJiwMAG	0	33	TRUE
a1PW0000000KJixMAG	0	20	TRUE
a1PW0000000KJiyMAG	0	18	TRUE
a1PW0000000KJizMAG	0	18	TRUE
a1PW0000000KJj2MAG	0	18	TRUE
a1PW0000000KJj3MAG	0	18	TRUE
a1PW0000000KJj4MAG	0	0	TRUE
a1PW0000000KJj5MAG	0	0	TRUE
a1PW0000000KJj6MAG	0	0	TRUE
a1PW0000000KJj7MAG	0	19	TRUE
a1PW0000000KJj8MAG	0	19	TRUE
a1PW0000000KJj9MAG	0	20	TRUE
a1PW0000000KJjAMAW	0	20	TRUE
a1PW0000000KJjBMAW	0	20	TRUE
a1PW0000000KJjCMAW	0	20	TRUE
a1PW0000000KJjDMAW	0	20	TRUE
a1PW0000000KJjEMAW	0	20	TRUE
a1PW0000000KJjFMAW	0	20	TRUE
a1PW0000000KJjGMAW	0	20	TRUE
a1PW0000000KJjHMAW	0	18	TRUE
a1PW0000000KJj0MAG	0	18	TRUE
a1PW0000000KJj1MAG	0	18	TRUE
a1PW0000000KJjIMAW	0	18	TRUE
a1PW0000000KJjJMAW	0	18	TRUE
a1PW0000000KJjKMAW	2	45	TRUE
a1PW0000000KJjLMAW	0	20	TRUE
a1PW0000000KJjMMAW	0	20	TRUE
a1PW0000000KJjNMAW	0	0	TRUE
a1PW0000000KJjOMAW	0	20	TRUE
a1PW0000000KJjPMAW	0	20	TRUE
