ID,NAME,RECORDTYPEID,PRODUCT_NAME__C,PRODUCTTYPE__C,PRODUCT_MANUFACTURER__C,IS_ACTIVE__C,CUSTOMUNIQUEKEY__C,INVESTMENT_TYPE__C,IS_RECOMMENDED__C
a1RW000000015gAMAQ,PRD-002827,012W00000004QVmIAM,Axis Equity Fund,Mutual Fund,a1QW00000001FvAMAU,true,Axis Equity FundMutual Funda1QW00000001FvAMAU,Lumpsum,false
a1RW000000015gEMAQ,PRD-002831,012W00000004QVmIAM,Axis Triple Advantage Fund,Mutual Fund,a1QW00000001FvAMAU,true,Axis Triple Advantage FundMutual Funda1QW00000001FvAMAU,Lumpsum,false
a1RW000000015gFMAQ,PRD-002832,012W00000004QVmIAM,Birla Sun Life Dividend Yield Plus - Growth,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Dividend Yield Plus - GrowthMutual Funda1QW00000001FuOMAU,Lumpsum,false
a1RW000000015gHMAQ,PRD-002834,012W00000004QVmIAM,Birla Sun Life Medium Term Plan,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Medium Term PlanMutual Funda1QW00000001FuOMAU,Lumpsum,false
a1RW000000015gPMAQ,PRD-002842,012W00000004QVmIAM,DSP BlackRock Micro Cap Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Micro Cap FundMutual Funda1QW00000001FvBMAU,Lumpsum,false
a1RW000000015gRMAQ,PRD-002844,012W00000004QVmIAM,DSP BlackRock Equity Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Equity FundMutual Funda1QW00000001FvBMAU,Lumpsum,false
a1RW000000015gUMAQ,PRD-002847,012W00000004QVmIAM,DSP BlackRock Small and Mid Cap Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Small and Mid Cap FundMutual Funda1QW00000001FvBMAU,Lumpsum,false
a1RW000000015gWMAQ,PRD-002849,012W00000004QVmIAM,DSP BlackRock Money Manager Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Money Manager FundMutual Funda1QW00000001FvBMAU,Lumpsum,false
a1RW000000015gcMAA,PRD-002855,012W00000004QVmIAM,HDFC Cash Management Treasury Advantage Fund,Mutual Fund,a1QW00000001FvLMAU,true,HDFC Cash Management Treasury Advantage FundMutual Funda1QW00000001FvLMAU,Lumpsum,false
a1RW000000015gwMAA,PRD-002875,012W00000004QVmIAM,IDFC Sterling Equity Fund,Mutual Fund,a1QW00000001FvDMAU,true,IDFC Sterling Equity FundMutual Funda1QW00000001FvDMAU,Lumpsum,false
a1RW000000015gyMAA,PRD-002877,012W00000004QVmIAM,Pramerica Short Term Income Fund,Mutual Fund,a1QW00000001FvEMAU,true,Pramerica Short Term Income FundMutual Funda1QW00000001FvEMAU,Lumpsum,false
a1RW000000015iCMAQ,PRD-002903,012W00000004QVmIAM,Birla Sun Life Dynamic Bond Fund,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Dynamic Bond FundMutual Funda1QW00000001FuOMAU,SIP,false
a1RW000000015iDMAQ,PRD-002904,012W00000004QVmIAM,Birla Sun Life Frontline Equity Fund,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Frontline Equity FundMutual Funda1QW00000001FuOMAU,SIP,false
a1RW000000015iFMAQ,PRD-002906,012W00000004QVmIAM,Birla Sun Life Medium Term Plan,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Medium Term PlanMutual Funda1QW00000001FuOMAU,SIP,false
a1RW000000015iGMAQ,PRD-002907,012W00000004QVmIAM,Birla Sun Life Savings Fund,Mutual Fund,a1QW00000001FuOMAU,true,Birla Sun Life Savings FundMutual Funda1QW00000001FuOMAU,SIP,false
a1RW000000015iHMAQ,PRD-002908,012W00000004QVmIAM,DSP BlackRock Equity Fund - Regular Plan,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Equity Fund - Regular PlanMutual Funda1QW00000001FvBMAU,SIP,false
a1RW000000015iKMAQ,PRD-002911,012W00000004QVmIAM,DSP BlackRock Short Term Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Short Term FundMutual Funda1QW00000001FvBMAU,SIP,false
a1RW000000015iLMAQ,PRD-002912,012W00000004QVmIAM,DSP BlackRock Top 100 Equity Fund,Mutual Fund,a1QW00000001FvBMAU,true,DSP BlackRock Top 100 Equity FundMutual Funda1QW00000001FvBMAU,SIP,false
a1RW000000015iOMAQ,PRD-002915,012W00000004QVmIAM,Franklin India Flexi Cap Fund,Mutual Fund,a1QW00000001FvCMAU,true,Franklin India Flexi Cap FundMutual Funda1QW00000001FvCMAU,SIP,false
a1RW000000015iQMAQ,PRD-002917,012W00000004QVmIAM,HDFC Equity Fund,Mutual Fund,a1QW00000001FvLMAU,true,HDFC Equity FundMutual Funda1QW00000001FvLMAU,SIP,false
a1RW000000015iRMAQ,PRD-002918,012W00000004QVmIAM,HDFC High Interest Fund - Short Term Plan,Mutual Fund,a1QW00000001FvLMAU,true,HDFC High Interest Fund - Short Term PlanMutual Funda1QW00000001FvLMAU,SIP,false
a1RW000000015iSMAQ,PRD-002919,012W00000004QVmIAM,HDFC Mid-Cap Opportunities Fund,Mutual Fund,a1QW00000001FvLMAU,true,HDFC Mid-Cap Opportunities FundMutual Funda1QW00000001FvLMAU,SIP,false
a1RW000000015iUMAQ,PRD-002921,012W00000004QVmIAM,HDFC Prudence Fund,Mutual Fund,a1QW00000001FvLMAU,true,HDFC Prudence FundMutual Funda1QW00000001FvLMAU,SIP,false
a1RW000000015iXMAQ,PRD-002924,012W00000004QVmIAM,IDFC Dynamic Bond Fund,Mutual Fund,a1QW00000001FvDMAU,true,IDFC Dynamic Bond FundMutual Funda1QW00000001FvDMAU,SIP,false
a1RW000000015iYMAQ,PRD-002925,012W00000004QVmIAM,IDFC Money Manager Fund - Treasury Plan A,Mutual Fund,a1QW00000001FvDMAU,true,IDFC Money Manager Fund - Treasury Plan AMutual Funda1QW00000001FvDMAU,SIP,false
a1RW000000015iZMAQ,PRD-002926,012W00000004QVmIAM,IDFC Premier Equity Fund - Plan A,Mutual Fund,a1QW00000001FvDMAU,true,IDFC Premier Equity Fund - Plan AMutual Funda1QW00000001FvDMAU,SIP,false
a1RW000000015icMAA,PRD-002929,012W00000004QVmIAM,Pramerica Equity Fund,Mutual Fund,a1QW00000001FvEMAU,true,Pramerica Equity FundMutual Funda1QW00000001FvEMAU,SIP,false
a1RW000000015ieMAA,PRD-002931,012W00000004QVmIAM,Pramerica Ultra Short Term Bond Fund,Mutual Fund,a1QW00000001FvEMAU,true,Pramerica Ultra Short Term Bond FundMutual Funda1QW00000001FvEMAU,SIP,false
a1RW000000015ifMAA,PRD-002932,012W00000004QVmIAM,Reliance Gold Savings Fund,Mutual Fund,a1QW00000001FuTMAU,true,Reliance Gold Savings FundMutual Funda1QW00000001FuTMAU,SIP,false
a1RW000000015igMAA,PRD-002933,012W00000004QVmIAM,Reliance Growth Fund - Retail Plan,Mutual Fund,a1QW00000001FuTMAU,true,Reliance Growth Fund - Retail PlanMutual Funda1QW00000001FuTMAU,SIP,false
