"ID","NAME","PRODUCT_NAME__C","IS_ACTIVE__C","IS_RECOMMENDED__C"
"a1RW000000015f7MAA","PRD-002800","Apollo Munich Easy Health Individual","true","false"
"a1RW000000015f8MAA","PRD-002801","Apollo Munich Optima Senior","true","false"
"a1RW000000015i8MAA","PRD-002899","Axis Equity Fund","true","false"
"a1RW000000015gAMAQ","PRD-002827","Axis Equity Fund","true","false"
"a1RW000000015gBMAQ","PRD-002828","Axis Gold ETF Growth","true","false"
"a1RW000000015gCMAQ","PRD-002829","Axis Money Manager Fund","true","false"
"a1RW000000015gDMAQ","PRD-002830","Axis Treasury Advantage Fund","true","false"
"a1RW000000015i9MAA","PRD-002900","AXIS Treasury Advantage Fund","true","false"
"a1RW000000015iAMAQ","PRD-002901","Axis Triple Advantage Fund","true","false"
"a1RW000000015gEMAQ","PRD-002831","Axis Triple Advantage Fund","true","false"
"a1RW000000015fAMAQ","PRD-002803","Bajaj Allianz Critical Care j Allianz","true","false"
"a1RW000000015fBMAQ","PRD-002804","Bajaj Allianz Critical Care Policy","true","false"
"a1RW000000015fbMAA","PRD-002822","Bajaj Allianz Critical Care Policy","true","false"
"a1RW000000015fgMAA","PRD-002823","Bajaj Allianz Critical Illness Cover","true","false"
"a1RW000000015fCMAQ","PRD-002805","Bajaj Allianz Critical Illness Cover","true","false"
"a1RW000000015flMAA","PRD-002824","Bajaj Allianz Extra Care","true","false"
"a1RW000000015fDMAQ","PRD-002806","Bajaj Allianz Extra Care","true","false"
"a1RW000000015fEMAQ","PRD-002807","Bajaj Allianz Health Guard","true","false"
"a1RW000000015f9MAA","PRD-002802","Bajaj Allianz Individual Health Guard","true","false"
"a1RW000000015fqMAA","PRD-002825","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015fFMAQ","PRD-002808","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015fvMAA","PRD-002826","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015iBMAQ","PRD-002902","Birla Sun Life Dividend Yield Plus - Growth","true","false"
"a1RW000000015gFMAQ","PRD-002832","Birla Sun Life Dividend Yield Plus - Growth","true","false"
"a1RW000000015gGMAQ","PRD-002833","Birla Sun Life Dynamic Bond Fund","true","false"
"a1RW000000015iCMAQ","PRD-002903","Birla Sun Life Dynamic Bond Fund","true","false"
"a1RW000000015gIMAQ","PRD-002835","Birla Sun Life Frontline Equity Fund","true","false"
"a1RW000000015iDMAQ","PRD-002904","Birla Sun Life Frontline Equity Fund","true","false"
"a1RW000000015gJMAQ","PRD-002836","Birla Sun Life Gold Fund","true","false"
"a1RW000000015iEMAQ","PRD-002905","Birla Sun Life Infrastructure Fund","true","false"
"a1RW000000015gKMAQ","PRD-002837","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015gHMAQ","PRD-002834","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015iFMAQ","PRD-002906","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015gLMAQ","PRD-002838","Birla Sun Life MidCap Fund","true","false"
"a1RW000000015gMMAQ","PRD-002839","Birla Sun Life Savings Fund","true","false"
"a1RW000000015iGMAQ","PRD-002907","Birla Sun Life Savings Fund","true","false"
"a1RW000000015eEMAQ","PRD-002746","BSLI Protector Plus Plan","true","false"
"a1RW000000010xqMAA","PRD-001887","Comprehensive Financial Planning","true","false"
"a1RW000000011bCMAQ","PRD-001896","Credit Ready Planning","true","false"
"a1RW000000011b7MAA","PRD-001895","Credit X Ray","true","false"
"a1RW000000015iJMAQ","PRD-002910","DSP BlackRock Equity Fund","true","false"
"a1RW000000015gRMAQ","PRD-002844","DSP BlackRock Equity Fund","true","false"
"a1RW000000015gNMAQ","PRD-002840","DSP BlackRock Equity Fund - Regular Plan","true","false"
"a1RW000000015iHMAQ","PRD-002908","DSP BlackRock Equity Fund - Regular Plan","true","false"
"a1RW000000015gSMAQ","PRD-002845","DSP BlackRock Income Opportunities Fund","true","false"
"a1RW000000015iIMAQ","PRD-002909","DSP BlackRock Micro Cap Fund","true","false"
"a1RW000000015gPMAQ","PRD-002842","DSP BlackRock Micro Cap Fund","true","false"
"a1RW000000015iMMAQ","PRD-002913","DSP BlackRock Money Manager Fund","true","false"
"a1RW000000015gWMAQ","PRD-002849","DSP BlackRock Money Manager Fund","true","false"
"a1RW000000015gQMAQ","PRD-002843","DSP BlackRock Opportunities Fund","true","false"
"a1RW000000015gTMAQ","PRD-002846","DSP BlackRock Short Term Fund","true","false"
"a1RW000000015iKMAQ","PRD-002911","DSP BlackRock Short Term Fund","true","false"
"a1RW000000015iNMAQ","PRD-002914","DSP BlackRock Small and Mid Cap Fund","true","false"
"a1RW000000015gUMAQ","PRD-002847","DSP BlackRock Small and Mid Cap Fund","true","false"
"a1RW000000015gOMAQ","PRD-002841","DSP BlackRock Tax Saver Fund","true","false"
"a1RW000000015gVMAQ","PRD-002848","DSP BlackRock Top 100 Equity Fund","true","false"
"a1RW000000015iLMAQ","PRD-002912","DSP BlackRock Top 100 Equity Fund","true","false"
"a1RW000000010xbMAA","PRD-001884","Dual Goal Planning","true","false"
"a1RW000000010xgMAA","PRD-001885","Early Planning for Retirement","true","false"
"a1RW000000015gXMAQ","PRD-002850","Franklin India Bluechip Fund","true","false"
"a1RW000000015gYMAQ","PRD-002851","Franklin India Flexi Cap Fund","true","false"
"a1RW000000015iOMAQ","PRD-002915","Franklin India Flexi Cap Fund","true","false"
"a1RW000000015gZMAQ","PRD-002852","Franklin India Prima Fund","true","false"
"a1RW000000015gaMAA","PRD-002853","Franklin India Tax Shield","true","false"
"a1RW000000015gbMAA","PRD-002854","HDFC Balanced Fund","true","false"
"a1RW000000015iPMAQ","PRD-002916","HDFC Cash Management Treasury Advantage Fund","true","false"
"a1RW000000015gcMAA","PRD-002855","HDFC Cash Management Treasury Advantage Fund","true","false"
"a1RW000000015gdMAA","PRD-002856","HDFC Equity Fund","true","false"
"a1RW000000015iQMAQ","PRD-002917","HDFC Equity Fund","true","false"
"a1RW000000015hJMAQ","PRD-002898","HDFC Gold Fund","true","false"
"a1RW000000015geMAA","PRD-002857","HDFC Growth Fund","true","false"
"a1RW000000015gfMAA","PRD-002858","HDFC High Interest Fund - Short Term Plan","true","false"
"a1RW000000015iRMAQ","PRD-002918","HDFC High Interest Fund - Short Term Plan","true","false"
"a1RW000000015ggMAA","PRD-002859","HDFC Index Fund - Sensex Plus Plan","true","false"
"a1RW000000015eFMAQ","PRD-002747","HDFC Life Click 2 Protect","true","false"
"a1RW000000015ghMAA","PRD-002860","HDFC Liquid Fund","true","false"
"a1RW000000015giMAA","PRD-002861","HDFC Long Term Advantage Fund","true","false"
"a1RW000000015gjMAA","PRD-002862","HDFC Mid-Cap Opportunities Fund","true","false"
"a1RW000000015iSMAQ","PRD-002919","HDFC Mid-Cap Opportunities Fund","true","false"
"a1RW000000015gkMAA","PRD-002863","HDFC Monthly Income Plan - Long Term Plan","true","false"
"a1RW000000015iTMAQ","PRD-002920","HDFC Monthly Income Plan - Short Term Plan","true","false"
"a1RW000000015glMAA","PRD-002864","HDFC Multiple Yield Fund","true","false"
"a1RW000000015gmMAA","PRD-002865","HDFC Prudence Fund","true","false"
"a1RW000000015iUMAQ","PRD-002921","HDFC Prudence Fund","true","false"
"a1RW000000015gnMAA","PRD-002866","HDFC Tax Saver","true","false"
"a1RW000000015goMAA","PRD-002867","HDFC Top 200","true","false"
"a1RW000000015iVMAQ","PRD-002922","HDFC Top 200 Fund","true","false"
"a1RW000000015fGMAQ","PRD-002809","Health Guard","true","false"
"a1RW000000015gpMAA","PRD-002868","ICICI Blue Chip Fund Growth","true","false"
"a1RW000000015gqMAA","PRD-002869","ICICI Discovery","true","false"
"a1RW000000015grMAA","PRD-002870","ICICI Flexi Income Fund","true","false"
"a1RW000000015iWMAQ","PRD-002923","ICICI Health Care Plus","true","false"
"a1RW000000015fHMAQ","PRD-002810","ICICI Lombard Critical Care","true","false"
"a1RW000000015fIMAQ","PRD-002811","ICICI Lombard Critical Care Cover","true","false"
"a1RW000000015fJMAQ","PRD-002812","ICICI Lombard Health Protect Family Floater","true","false"
"a1RW000000015fKMAQ","PRD-002813","ICICI Lombard Health Protect Plus","true","false"
"a1RW000000015fLMAQ","PRD-002814","ICICI Lombard Persoanl Accident Cover","true","false"
"a1RW000000015fMMAQ","PRD-002815","ICICI Lombard Personal Protect Plan","true","false"
"a1RW000000015fNMAQ","PRD-002816","ICICI Lombard Top Up Cover","true","false"
"a1RW000000015fOMAQ","PRD-002817","ICICI Personal Protect","true","false"
"a1RW000000015fPMAQ","PRD-002818","ICICI Personal Protect Policy","true","false"
"a1RW000000015fQMAQ","PRD-002819","ICICI Pru Capital Protection","true","false"
"a1RW000000015gsMAA","PRD-002871","ICICI Prudential Capital Protection Oriented Fund","true","false"
"a1RW000000015gtMAA","PRD-002872","IDFC Dynamic Bond Fund","true","false"
"a1RW000000015iXMAQ","PRD-002924","IDFC Dynamic Bond Fund","true","false"
"a1RW000000015guMAA","PRD-002873","IDFC Money Manager Fund - Treasury Plan A","true","false"
"a1RW000000015iYMAQ","PRD-002925","IDFC Money Manager Fund - Treasury Plan A","true","false"
"a1RW000000015gvMAA","PRD-002874","IDFC Premier Equity Fund - Plan A","true","false"
"a1RW000000015iZMAQ","PRD-002926","IDFC Premier Equity Fund - Plan A","true","false"
"a1RW000000015iaMAA","PRD-002927","IDFC Sterling Equity Fund","true","false"
"a1RW000000015gwMAA","PRD-002875","IDFC Sterling Equity Fund","true","false"
"a1RW000000015ibMAA","PRD-002928","Pramerica Credit Opportunities Fund","true","false"
"a1RW000000015gxMAA","PRD-002876","Pramerica Equity Fund","true","false"
"a1RW000000015icMAA","PRD-002929","Pramerica Equity Fund","true","false"
"a1RW000000015idMAA","PRD-002930","Pramerica Short Term Income Fund","true","false"
"a1RW000000015gyMAA","PRD-002877","Pramerica Short Term Income Fund","true","false"
"a1RW000000015gzMAA","PRD-002878","Pramerica Ultra Short Term Bond Fund","true","false"
"a1RW000000015ieMAA","PRD-002931","Pramerica Ultra Short Term Bond Fund","true","false"
"a1RW000000015h0MAA","PRD-002879","Premium persoanl Guard","true","false"
"a1RW000000015fRMAQ","PRD-002820","Preventive Health Care","true","false"
"a1RW000000015h2MAA","PRD-002881","Reliance Dynamic Bond Fund","true","false"
"a1RW000000015h1MAA","PRD-002880","Reliance Equity Opportunities Fund - Retail Plan (G)","true","false"
"a1RW000000015h3MAA","PRD-002882","Reliance Gold Savings Fund","true","false"
"a1RW000000015ifMAA","PRD-002932","Reliance Gold Savings Fund","true","false"
"a1RW000000015h4MAA","PRD-002883","Reliance Growth Fund - Retail Plan","true","false"
"a1RW000000015igMAA","PRD-002933","Reliance Growth Fund - Retail Plan","true","false"
"a1RW000000015ihMAA","PRD-002934","Reliance Liquid Fund - Cash Plan","true","false"
"a1RW000000015h5MAA","PRD-002884","Reliance Money Manager Fund - Retail Plan","true","false"
"a1RW000000015h6MAA","PRD-002885","Reliance Monthly Income Plan","true","false"
"a1RW000000015h7MAA","PRD-002886","Reliance Regular Savings Fund - Debt Option - Retail Plan","true","false"
"a1RW000000015h8MAA","PRD-002887","Reliance Tax Saver (ELSS) Fund","true","false"
"a1RW000000010xWMAQ","PRD-001883","Risk Planning","true","false"
"a1RW000000015h9MAA","PRD-002888","SBI Dynamic Bond Fund","true","false"
"a1RW000000015hAMAQ","PRD-002889","SBI Emerging Businesses Fund - Regular Plan - G","true","false"
"a1RW000000015hIMAQ","PRD-002897","SBI Magnum Tax Gain Scheme","true","false"
"a1RW000000010xlMAA","PRD-001886","Starter Financial Planning","true","false"
"a1RW000000015hBMAQ","PRD-002890","Sundaram Select Focus","true","false"
"a1RW000000015hCMAQ","PRD-002891","Sundaram Select Mid Cap","true","false"
"a1RW000000011b2MAA","PRD-001894","Tax Planning","true","false"
"a1RW000000015hEMAQ","PRD-002893","Templeton India Equity Income Fund","true","false"
"a1RW000000015hDMAQ","PRD-002892","Templeton India Growth Fund","true","false"
"a1RW000000015hFMAQ","PRD-002894","Templeton India Short Term Income Plan","true","false"
"a1RW000000015hGMAQ","PRD-002895","Templeton India Treasury Management Account - Regular Plan","true","false"
"a1RW000000017tzMAA","PRD-003070","Test  Endowment","true","false"
"a1RW00000001AZKMA2","PRD-003401","Test 00","true","false"
"a1RW000000017uJMAQ","PRD-003076","Test Childrens","true","false"
"a1RW000000015TGMAY","PRD-002743","Test GI","false","false"
"a1RW00000001AahMAE","PRD-003402","Test GI 1","true","false"
"a1RW00000001AdqMAE","PRD-003403","Test GI 2","true","false"
"a1RW00000001637MAA","PRD-002989","Test Householders","true","false"
"a1RW000000017uEMAQ","PRD-003073","Test MoneyBack","true","false"
"a1RW000000017u9MAA","PRD-003072","Test PensionPlan","true","false"
"a1RW000000017u4MAA","PRD-003071","Test ULIPDebt","true","false"
"a1RW000000017uOMAQ","PRD-003077","Test ULIPEquity","true","false"
"a1RW000000015rVMAQ","PRD-002935","Test Vehicle","true","false"
"a1RW000000017tuMAA","PRD-003069","Test Wholelife","true","false"
"a1RW000000015hHMAQ","PRD-002896","Top Up Policy with Rs.4,00,000 deductible","true","false"
"a1RW000000011axMAA","PRD-001893","Will Writing","true","false"
