"ID","ACTION_PLAN_PRODUCT_NAME__C","PRODUCT_NAME__C"
"a3N2000000001AHEAY","Birla SL Div Yield","Birla Sun Life Dividend Yield Plus"
"a3N2000000001AIEAY","Birla SL Dividend Yield","Birla Sun Life Dividend Yield Plus"
"a3N2000000001AJEAY","Bilra SL Dynamic Bond Fund","Birla Sun Life Dynamic Bond Fund"
"a3N2000000001AKEAY","Reliance Tax Saver","Reliance Tax Saver (ELSS) Fund"
"a3N2000000001ALEAY","Relaince Banking Fund","Reliance Banking"
"a3N2000000001AMEAY","DSP BR Tax Saver Fund","DSP BlackRock Tax Saver Fund"
"a3N2000000001ANEAY","HDFC Top 200-G","HDFC Top 200 Fund"
"a3N2000000001AOEAY","HDFC Equity Fund-G","HDFC Equity Fund"
"a3N2000000001APEAY","L&T Equity Fund-G","L & T Equity"
"a3N2000000001AQEAY","Sundaram BNP Paribas Select Midcap Growth","TestTest"
"a3N2000000001AREAY","BSL Dynamic","Birla Sun Life Dynamic Bond Fund"
"a3N2000000001ASEAY","UTI Gold Fund","UTI Gold"
"a3N2000000001ATEAY","Franklin India Blue-chip Fund - Div Reinvestment","Franklin India Bluechip Fund"
"a3N2000000001AUEAY","Hdfc Prudence Fund - Dividend Reinvestment","HDFC Prudence Fund"
"a3N2000000001AVEAY","HDFC Top 200 Fund - (G) [Folio:6036453/56]","HDFC Top 200 Fund"
"a3N20000000015iEAA","ICICI Lombard Persoanl Accident Cover","ICICI Lombard Personal Accident Cover"
"a3N20000000015jEAA","ICICI Lombard Health Protect Plus","ICICI Lombard Health Protect Plus"
"a3N20000000015kEAA","IDFC Money Treasury A Manager","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000015lEAA","DSP Money Manage","DSP BlackRock Money Manager Fund"
"a3N20000000015mEAA","Bajaj Allianz Individual Health","Bajaj Allianz Health Guard"
"a3N20000000015nEAA","Axis Triple Advantge","Axis Triple Advanatage Fund"
"a3N20000000015oEAA","Apolo Munich Optima Senior","Apollo Munich Optima Senior"
"a3N20000000015pEAA","DSP BR Top 100 Fund","DSP BlackRock Top 100 Equity Fund"
"a3N20000000015qEAA","Prameirca Short Term Income Fund","Pramerica Short Term Income Fund"
"a3N20000000015rEAA","Axis Triple Advantage Funds","Axis Triple Advanatage Fund"
"a3N20000000015sEAA","L & T Special Situation Fund D","L & T India Special Situations Fund"
"a3N20000000015tEAA","Rel Equity Opportunies Fund D","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a3N20000000015uEAA","SBI Dynamic Bond Fund","SBI Dynamic Bond Fund"
"a3N20000000015vEAA","L & T Special Situation Fund","L & T India Special Situations Fund"
"a3N20000000015wEAA","BSL Frontline Equity Fund D","Birla Sun Life Frontline Equity Fund"
"a3N20000000015xEAA","DSP Micro Cap","DSP BlackRock Micro Cap Fund"
"a3N20000000015yEAA","Birla Sun Life Frontline Equity","Birla Sun Life Frontline Equity Fund"
"a3N20000000015zEAA","Bajaj Allianz Critical Ilness","Bajaj Allianz Critical Illness Cover"
"a3N200000000160EAA","Sweep in Fixed Deposit","Fixed Deposit"
"a3N200000000161EAA","ICICI Pru Regular Savings","ICICI Prudential Regular Savings"
"a3N200000000162EAA","L&T Equity","L & T Equity"
"a3N200000000163EAA","L & T Equity","L & T Equity"
"a3N200000000164EAA","ICICI Pru Flexible Income (D)","ICICI Flexi Income Fund"
"a3N200000000165EAA","Bajaj Allainz Personal Guard","Bajaj Allianz Premier Personal Guard"
"a3N200000000166EAA","DSP BR Short Term Fund","DSP BlackRock Short Term Fund"
"a3N200000000167EAA","BSL Medium Term Recurring Savings Plan","Birla Sun Life Medium Term Plan"
"a3N200000000168EAA","IDFC Money Manager Treasury Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N200000000169EAA","IDFC Money Manager Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N2000000001DaEAI","Axis Triple Advanatage","Axis Triple Advantage Fund"
"a3N2000000001DbEAI","Birla SL Savings Fund","BSL Savings Fund"
"a3N2000000001DcEAI","Birla SL Short Term","BSL Short Term Fund"
"a3N2000000001DdEAI","Birla Sunlife Frontline Equity","BSL Frontline Equity Fund"
"a3N2000000001DeEAI","Birla Sun Life Dynamic Bond Fund - Retail","BSL Dynamic Bond Fund"
"a3N2000000001DfEAI","Birla Sun Life Monthly Income Plan II","BSL Monthly Income  Plan"
"a3N2000000001DgEAI","Birla DIV Yield","Birla Div Yield Plus Fund"
"a3N2000000001DhEAI","Birla Div Yield Plus","Birla Div Yield Plus Fund"
"a3N2000000001DiEAI","Birla Medium Term Plan","Birla Medium Term Plan"
"a3N2000000001DjEAI","Birla SL - DBF Ret (G) [Folio:1015671499]","BSL Dynamic Bond Fund"
"a3N2000000001DkEAI","BSL Frontline Equity Fund (G) Folio:1015671499","BSL Frontline Equity Fund"
"a3N2000000001DlEAI","DSP BlackRock Money Manger Fund","DSP BlackRock Money Manger Fund"
"a3N2000000001DmEAI","DSP BlackRock Money Manger Fund - (MD)","DSP BlackRock Money Manger Fund"
"a3N2000000001DnEAI","DSP Short Term Fund","DSP Short Term Fund"
"a3N2000000001DoEAI","Edelweiss D.G.E. Top 100 Fund","Edelweiss D.G.E. Top 100 Fund"
"a3N2000000001DpEAI","Franklin Templeton Blue Chip Fund","Franklin India Blue Chip Fund"
"a3N2000000001DqEAI","Templ India Ultra-short Fund Super Inst Wkly D","Templeton India Ultra Short Bond Fund"
"a3N2000000001DrEAI","HDFC Gold","HDFC Gold Fund"
"a3N2000000001DsEAI","HDFC High Interest ST Income Growth","HDFC High Interest Fund"
"a3N2000000001DtEAI","HDFC CMF - Treasury Advantage Plan - Retail","HDFC CMF - Treasury Advantage Plan"
"a3N2000000001DuEAI","HDFC CMF - Treasury Advantage Plan - Retail - (MD)","HDFC CMF - Treasury Advantage Plan"
"a3N2000000001DvEAI","HDFC Taxsaver","HDFC Tax saver Fund"
"a3N2000000001DwEAI","HDFC Top 200 Fund.","HDFC Top 200 Fund."
"a3N2000000001DxEAI","HDFC Hi Stort Term Fund","HDFC Hi Stort Term Fund"
"a3N2000000001DyEAI","HDFC Multiple Yield (D)","HDFC Multiple Yield (D)"
"a3N2000000001DzEAI","HDFC Top 200 Fund (G) Folio:8142942/42","BSL Frontline Equity Fund"
"a3N2000000001E0EAI","ICICI Prudential Focused Bluechip Equity Fund (G)","ICICI Prudential Focused Blue chip Equity Fund"
"a3N2000000001E1EAI","ICICI Regular Savings Fund (G) [Folio:5938042/21]","ICICI Regular Savings Fund"
"a3N2000000001E2EAI","ICICI Flexible Income","ICICI Flexible Income Fund"
"a3N2000000001E3EAI","ICICI Focused Bluechip Fund","ICICI Prudential Focused Blue chip Fund"
"a3N2000000001E4EAI","ICICI Pru Focused Bluechip Equit(G)","ICICI Prudential Focused Blue chip Fund"
"a3N2000000001E5EAI","IDFC Tax Advantage Fund","IDFC Tax Advantage Fund"
"a3N2000000001E6EAI","IDFC MM Fund TP D Folio:1309749/29","IDFC Money Manager Treasury"
"a3N2000000001E7EAI","IDFC MM Treasury Plan A Fund","IDFC Money Manager Treasury"
"a3N2000000001E8EAI","IDFC Premier Equity Fund (G) Folio:1309749/29","IDFC Premier Equity Fund"
"a3N2000000001E9EAI","IDFC Treasury Advantage Plan","IDFC Treasury Advantage Fund"
"a3N2000000001EAEAY","Kotak Opportunites","Kotak Opportunities Fund"
"a3N2000000001EBEAY","L & T Gilt Investment","L & T Gilt fund"
"a3N2000000001ECEAY","Reliance Regular Savings Equity Plan","Reliance Regular Savings Equity Fund"
"a3N2000000001EDEAY","Reliance Equity opportunities Growth","Reliance Equity Opportunities Fund"
"a3N2000000001EEEAY","SBI FMCG Fund","SBI FMCG Fund"
"a3N2000000001EFEAY","SBI Emerging Business Fund","SBI Emerging Business Fund"
"a3N2000000001EGEAY","SBI Emerging Fund","SBI Emerging Business Fund"
"a3N2000000001EHEAY","SBI Dynamic Bond(G)","SBI Dynamic Bond"
"a3N2000000001EIEAY","UTI Dynamic Bond Fund","UTI Dynamic Bond Fund"
"a3N2000000001ByEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BzEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C0EAI","HDFC Click 2 Protect - Cover Rs.2,50,00,000 & Premium is Rs.35,758","HDFC Life Click 2 Protect"
"a3N2000000001C1EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C2EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C3EAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C4EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C5EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C6EAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C7EAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001C8EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001C9EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CAEAY","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CBEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CCEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CDEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CEEAY","HDFC Life Click 2 Protect - Cover of Rs.4,10,00,000.","HDFC Life Click 2 Protect"
"a3N2000000001CFEAY","HDFC Click2Protect (10000000)","HDFC Life Click 2 Protect"
"a3N2000000001CGEAY","HDFC Life Click 2 protect","HDFC Life Click 2 Protect"
"a3N2000000001CHEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CIEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CJEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CKEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CLEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CMEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CNEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001COEAY","LIC Term Plan","LIC Term Plan"
"a3N2000000001CPEAY","LIC Term Plan","LIC Term Plan"
"a3N2000000001CQEAY","Kotak Preffered Term Plan","Kotak Life Preferred Term Plan"
"a3N2000000001CREAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CSEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CTEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CUEAY","HDFC Life Click 2 Protect (Sum Assured - 2.09cr)","HDFC Life Click 2 Protect"
"a3N2000000001CVEAY","HDFC Click2Protect (13500000)","HDFC Life Click 2 Protect"
"a3N2000000001CWEAY","HDFC Click2Protect (14500000)","HDFC Life Click 2 Protect"
"a3N2000000001CXEAY","BSLI Protector Plus Plan","BSLI Protector Plus Plan"
"a3N2000000001CYEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CZEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CaEAI","HDFC Click2Protect (Sum assured 9,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001CbEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CcEAI","HDFC Click 2 Protect - S.A. 1.4 cr","HDFC Life Click 2 Protect"
"a3N2000000001CdEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CeEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CfEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CgEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001ChEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CiEAI","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CjEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CkEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001ClEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001CmEAI","HDFC Life Click 2 Protect ( 60 lac )","HDFC Life Click 2 Protect"
"a3N2000000001CnEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CoEAI","HDFC Click 2 Protect - 1.5 cr","HDFC Life Click 2 Protect"
"a3N2000000001CpEAI","HDFC Click2Protect - Cover of Rs.20,00,000","HDFC Life Click 2 Protect"
"a3N2000000001CqEAI","HDFC Click2Protect - Cover of Rs.16,000,000","HDFC Life Click 2 Protect"
"a3N2000000001CrEAI","HDFC Click2Protect - Cover for Rs.1,10,00,000","HDFC Life Click 2 Protect"
"a3N2000000001CsEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CtEAI","HDFC Life Click 2 Protect (Sum Assured of Rs.1.04 Crore","HDFC Life Click 2 Protect"
"a3N2000000001CuEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CvEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CwEAI","HDFC Click2Protect ( Sum Assured - Rs.75,00,000 )","HDFC Life Click 2 Protect"
"a3N2000000001CxEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001CyEAI","HDFC Life Click 2 Protect - Rs.60 lac","HDFC Life Click 2 Protect"
"a3N2000000001CzEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001D0EAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001D1EAI","Hdfc Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001D2EAI","HDFC Life Click2Protect (SA 7000000)","HDFC Life Click 2 Protect"
"a3N2000000001D3EAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001D4EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001D5EAI","HDFC Click2Protect(1.55cr)","HDFC Life Click 2 Protect"
"a3N2000000001D6EAI","HDFC Life Click 2 Protect - Rs.10,00,000","HDFC Life Click 2 Protect"
"a3N2000000001D7EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001D8EAI","HDFC Click2Protect ( Sum Assured - Rs.1,65,00,000 )","HDFC Life Click 2 Protect"
"a3N2000000001D9EAI","HDFC Life Click 2 Protect (Sum Assured - 2.23 cr)","HDFC Life Click 2 Protect"
"a3N2000000001DAEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DBEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DCEAY","HDFC Life Click 2 Protect.","HDFC Life Click 2 Protect"
"a3N2000000001DDEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DEEAY","HDFC Life Click 2 Protect.(Sum Assured of Rs.50,00,000)","HDFC Life Click 2 Protect"
"a3N2000000001DFEAY","HDFC Life Click 2 Protect.","HDFC Life Click 2 Protect"
"a3N2000000001DGEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DHEAY","HDFC Life Click2Protect ( Sum Assured - Rs.1,14,00,000 )","HDFC Life Click 2 Protect"
"a3N2000000001DIEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DJEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DKEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DLEAY","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DMEAY","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DNEAY","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DOEAY","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DPEAY","HDFC Life Click 2 Protect.(Sum Assured of Rs.42,50,000)","HDFC Life Click 2 Protect"
"a3N2000000001DQEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DREAY","HDFC Life Click 2 Protect.","HDFC Life Click 2 Protect"
"a3N2000000001DSEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001DTEAY","HDFC Life Click 2 Protect (Sum Assured Rs.90 lacs)","HDFC Life Click 2 Protect"
"a3N2000000001DUEAY","HDFC Life Click 2 Protect (Sum Assured Rs.1.2 Crore)","HDFC Life Click 2 Protect"
"a3N2000000001DVEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DWEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DXEAY","HDFC Life Click 2 Protect (Sum Assured - Rs.96 lacs)","HDFC Life Click 2 Protect"
"a3N2000000001DYEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001DZEAY","HDFC Life Click2Protect ( Sum Assured - Rs.61,88,000 )","HDFC Life Click 2 Protect"
"a3N2000000001AXEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AYEAY","HDFC LIfe Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AZEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AaEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AbEAI","HDFC Click2Protect(SA 5000000)","HDFC Life Click 2 Protect"
"a3N2000000001AcEAI","HDFC Click2Protect (SA 3,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001AdEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AeEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AfEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AgEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AhEAI","HDFC Life Click 2 Protect.","HDFC Life Click 2 Protect"
"a3N2000000001AiEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AjEAI","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AkEAI","HDFC Click2Protect (8,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001AlEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AmEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AnEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AoEAI","HDFC Life Click 2 Protect (Sum Assured Rs.37 lacs)","HDFC Life Click 2 Protect"
"a3N2000000001ApEAI","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AqEAI","Kotak Life Preferred Term Plan","Kotak Life Preferred Term Plan"
"a3N2000000001ArEAI","Kotak Life Preferred Term Plan","Kotak Life Preferred Term Plan"
"a3N2000000001AsEAI","HDFC Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AtEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AuEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AvEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AwEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001AxEAI","HDFC Life Clicl 2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AyEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001AzEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001B0EAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001B1EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001B2EAI","HDFC Click 2 protect","HDFC Life Click 2 Protect"
"a3N2000000001B3EAI","HDFC Life Click 2Protect","HDFC Life Click 2 Protect"
"a3N2000000001B4EAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001B5EAI","HDFC Life Click 2 Protect.","HDFC Life Click 2 Protect"
"a3N2000000001B6EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001B7EAI","HDFC Click2Protect (40 lacs)","HDFC Life Click 2 Protect"
"a3N2000000001B8EAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001B9EAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BAEAY","HDFC Life Click 2 Protect (Sum Assured - 1.04 crore)","HDFC Life Click 2 Protect"
"a3N2000000001BBEAY","HDFC Click2Protect (SA 14,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001BCEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BDEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BEEAY","HDFC Click2Protect (SA 15,500,000)","HDFC Life Click 2 Protect"
"a3N2000000001BFEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BGEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BHEAY","HDFC Life CLick 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BIEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BJEAY","HDFC Click2Protect (SA 2,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001BKEAY","HDFC Life Click 2 Protect. (Sum Assured of Rs.1 Crore)","HDFC Life Click 2 Protect"
"a3N2000000001BLEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BMEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BNEAY","HDFC Life Click 2 Protect.(Sum Assured of Rs.1.25 Crore)","HDFC Life Click 2 Protect"
"a3N2000000001BOEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BPEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BQEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BREAY","HDFC Life Click 2 Protect - Sum assured - Rs.29,000,000","HDFC Life Click 2 Protect"
"a3N2000000001BSEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BTEAY","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BUEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BVEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BWEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BXEAY","HDFC Click2Protect (SA 10,000,000)","HDFC Life Click 2 Protect"
"a3N2000000001BYEAY","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BZEAY","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BaEAI","HDFC Click 2 Protect - Cover of Rs.17,000,000","HDFC Life Click 2 Protect"
"a3N2000000001BbEAI","HDFC Lfe Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BcEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BdEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BeEAI","HDFC Life Click 2 Protect (Sum Assured of Rs.14,00,000)","HDFC Life Click 2 Protect"
"a3N2000000001BfEAI","Hdfc Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BgEAI","Hdfc Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BhEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BiEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BjEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BkEAI","BSLI Protector Plus Plan","BSLI Protector Plus Plan"
"a3N2000000001BlEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BmEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BnEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BoEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BpEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BqEAI","HDFC Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BrEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BsEAI","HDFC Life Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BtEAI","HDFC Life Click2Protect ( Sum Assured - Rs.2,90,00,000 )","HDFC Life Click 2 Protect"
"a3N2000000001BuEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BvEAI","HDFC LIfe Click 2 Protect","HDFC Life Click 2 Protect"
"a3N2000000001BwEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
"a3N2000000001BxEAI","HDFC Life Click2Protect","HDFC Life Click 2 Protect"
